Audit complete. Here's the summary:

| Strategy | Status | Signals (L,S) | Issues |
|---|---|---|---|
| gemini_17_of_20 | FIXED | 673,45 | 1 |
| gemini_18_of_20 | FIXED | 153,180 | 1 |
| gemini_19_of_20 | FIXED | 839,818 | 1 |
| gemini_2_of_20 | FIXED | 4180,4145 | 1 |
| gemini_20_of_20 | FIXED | 2325,2073 | 1 |
| gemini_3_of_20 | FIXED | 2,11 | 1 |
| gemini_4_of_20 | **PASS** | 1587,2421 | 0 |
| gemini_5_of_20 | FIXED | 12821,13092 | 1 |
| gemini_6_of_20 | FIXED | 5202,4752 | 1 |
| gemini_7_of_20 | FIXED | 6846,6942 | 1 |

**9 FIXED, 1 PASS**

**Common bug:** 9 strategies declared `session_start`/`session_end` class attributes but never enforced them in `compute()`, allowing entries to fire on after-hours bars. Fix applied: `in_session = (time_mins >= self.session_start) & (time_mins <= self.session_end)` ANDed into both `long_entry` and `short_entry`.

`gemini_4_of_20` already had an explicit `no_late = time_mins <= 890` guard built into its entry logic, so it passed without changes.
