Audit complete. Here's the summary:

**7 PASS, 3 FIXED, 0 UNFIXABLE**

| Strategy | Status | Long/Short |
|---|---|---|
| gemini31pro_index_relative_strength_v187 | PASS | 40/37 |
| gemini31pro_index_relative_strength_v189 | PASS | 95/66 |
| gemini31pro_index_relative_strength_v192 | PASS | 228/173 |
| gemini31pro_index_relative_strength_v200 | PASS | 147/171 |
| gemini31pro_inside_bar_breakout_v177 | PASS | 282/296 |
| gemini31pro_macd_trend_continuation_v71 | PASS | 145/159 |
| gemini31pro_pdh_pdl_fakeout_v141 | PASS | 76/51 |
| gemini31pro_orb_momentum_v22 | **FIXED** | 932/928 |
| gemini31pro_orb_momentum_v29 | **FIXED** | 358/383 |
| gemini31pro_orb_momentum_v32 | **FIXED** | 335/360 |

**Bug fixed in all 3 ORB strategies (`v22`, `v29`, `v32`):** The `_rolling_max`/`_rolling_min` helpers included the current bar in the lookback window. Since `current_bar_high >= current_bar_close`, the breakout condition `close > orb_high` was never satisfied (zero signals). Fixed by shifting the rolling window by 1 bar so breakout comparisons are against the previous N bars only.
