Exit signal check — all clean, no issues flagged:

| Strategy | Exit Long% | Exit Short% |
|---|---|---|
| 183 | 10.2% | 10.2% |
| 184 | 71.9% | 72.0% |
| 185 | 13.8% | 13.8% |
| 186 | 88.5% | 89.5% |
| 187 | 73.8% | 70.9% |
| 188 | 41.0% | 41.3% |
| 189 | 59.0% | 59.0% |
| 190 | 58.2% | 58.6% |
| 191 | 91.3% | 91.0% |
| 192 | 58.9% | 59.3% |

186 and 191 have high exit rates (88–91%), but since entry rates are extremely low (0.02% and 1.2% respectively), this just means they exit quickly once in a trade — not a bug. No issues were flagged for any strategy.
