trade_no,session_date,entry_time,exit_time,side,entry_strike,atm_at_entry,atm_at_exit,spot_at_entry,spot_at_exit,entry_premium,exit_premium,holding_bars,holding_seconds,exit_reason,gross_pnl_pts,gross_pnl_inr,spread_cost_inr,stt_inr,brokerage_inr,exchange_inr,total_cost_inr,net_pnl_inr,premium_missing
1,2026-03-04,2026-03-04T09:55:25.000000,2026-03-04T09:56:00.000000,CE,24350.0,24350.0,24350.0,24356.75,24347.7,335.4,330.4,7,35,STOP,-5.0,-375.0,225.0,15.487499999999999,40,10,290.4875,-665.4875,false
2,2026-03-04,2026-03-04T10:02:20.000000,2026-03-04T10:04:20.000000,CE,24350.0,24350.0,24350.0,24329.1,24334.6,322.25,322.75,24,120,TIME,0.5,37.5,225.0,15.12890625,40,10,290.12890625,-252.62890625,false
3,2026-03-04,2026-03-04T10:05:35.000000,2026-03-04T10:06:00.000000,CE,24350.0,24350.0,24350.0,24348.1,24337.4,326.2,320.8,5,25,STOP,-5.399999999999977,-404.9999999999983,225.0,15.037500000000001,40,10,290.0375,-695.0374999999983,false
4,2026-03-04,2026-03-04T10:06:00.000000,2026-03-04T10:08:00.000000,CE,24350.0,24350.0,24350.0,24337.4,24344.2,320.8,324.05,24,120,TIME,3.25,243.75,225.0,15.189843750000001,40,10,290.18984375,-46.43984375000002,false
5,2026-03-04,2026-03-04T10:08:25.000000,2026-03-04T10:09:35.000000,CE,24350.0,24350.0,24350.0,24353.65,24370.75,328.25,336.35,14,70,TARGET,8.100000000000023,607.5000000000017,225.0,15.766406250000001,40,10,290.76640625,316.7335937500017,false
6,2026-03-05,2026-03-05T09:30:00.000000,2026-03-05T09:30:25.000000,PE,24600.0,24600.0,24550.0,24576.95,24564.05,246.05,254.3,5,25,TARGET,8.25,618.75,225.0,11.920312500000001,40,10,286.9203125,331.8296875,false
7,2026-03-05,2026-03-05T09:30:25.000000,2026-03-05T09:32:10.000000,PE,24550.0,24550.0,24600.0,24564.05,24575.4,233.3,225.0,21,105,STOP,-8.300000000000011,-622.5000000000009,225.0,10.546875,40,10,285.546875,-908.0468750000009,false
8,2026-03-05,2026-03-05T09:33:50.000000,2026-03-05T09:35:00.000000,PE,24600.0,24600.0,24550.0,24578.2,24560.15,245.6,255.55,14,70,TARGET,9.950000000000017,746.2500000000013,225.0,11.978906250000001,40,10,286.97890625,459.2710937500012,false
9,2026-03-05,2026-03-05T09:35:00.000000,2026-03-05T09:35:45.000000,PE,24550.0,24550.0,24550.0,24560.15,24567.0,233.65,227.15,9,45,STOP,-6.5,-487.5,225.0,10.64765625,40,10,285.64765625,-773.14765625,false
10,2026-03-05,2026-03-05T09:36:25.000000,2026-03-05T09:37:25.000000,PE,24550.0,24550.0,24550.0,24558.95,24540.85,231.9,240.6,12,60,TARGET,8.699999999999989,652.4999999999991,225.0,11.278125000000001,40,10,286.278125,366.2218749999991,false
11,2026-03-06,2026-03-06T09:30:35.000000,2026-03-06T09:32:20.000000,PE,24650.0,24650.0,24650.0,24673.35,24668.25,211.45,206.2,21,105,STOP,-5.25,-393.75,225.0,9.665624999999999,40,10,284.665625,-678.415625,false
12,2026-03-06,2026-03-06T09:34:15.000000,2026-03-06T09:36:15.000000,PE,24650.0,24650.0,24650.0,24658.6,24649.15,212.0,213.35,24,120,TIME,1.3499999999999943,101.24999999999957,225.0,10.000781250000001,40,10,285.00078125,-183.75078125000041,false
13,2026-03-06,2026-03-06T09:38:50.000000,2026-03-06T09:40:50.000000,PE,24650.0,24650.0,24650.0,24663.8,24646.3,209.9,215.75,24,120,TIME,5.849999999999994,438.74999999999955,225.0,10.113281250000002,40,10,285.11328125,153.63671874999955,false
