trade_no,session_date,entry_time,exit_time,side,entry_strike,atm_at_entry,atm_at_exit,spot_at_entry,spot_at_exit,entry_premium,exit_premium,holding_bars,holding_seconds,exit_reason,gross_pnl_pts,gross_pnl_inr,spread_cost_inr,stt_inr,brokerage_inr,exchange_inr,total_cost_inr,net_pnl_inr,premium_missing
1,2026-03-04,2026-03-04T11:28:10.000000,2026-03-04T11:29:05.000000,CE,24400.0,24400.0,24350.0,24382.5,24371.7,312.3,305.7,11,55,STOP,-6.600000000000023,-495.0000000000017,225.0,14.3296875,40,10,289.3296875,-784.3296875000017,false
2,2026-03-04,2026-03-04T11:29:05.000000,2026-03-04T11:31:05.000000,CE,24350.0,24350.0,24350.0,24371.7,24366.45,335.45,334.05,24,120,TIME,-1.3999999999999773,-104.9999999999983,225.0,15.65859375,40,10,290.65859375,-395.6585937499983,false
3,2026-03-04,2026-03-04T11:31:05.000000,2026-03-04T11:32:45.000000,CE,24350.0,24350.0,24350.0,24366.45,24356.7,334.05,324.45,20,100,STOP,-9.600000000000023,-720.0000000000017,225.0,15.20859375,40,10,290.20859375,-1010.2085937500017,false
4,2026-03-05,2026-03-05T10:15:05.000000,2026-03-05T10:17:05.000000,CE,24600.0,24600.0,24600.0,24604.05,24603.8,238.7,238.4,24,120,TIME,-0.29999999999998295,-22.49999999999872,225.0,11.174999999999999,40,10,286.175,-308.6749999999987,false
5,2026-03-05,2026-03-05T10:17:05.000000,2026-03-05T10:19:05.000000,CE,24600.0,24600.0,24600.0,24603.8,24603.4,238.4,236.45,24,120,TIME,-1.950000000000017,-146.25000000000128,225.0,11.08359375,40,10,286.08359375,-432.3335937500012,false
6,2026-03-05,2026-03-05T10:19:05.000000,2026-03-05T10:19:45.000000,CE,24600.0,24600.0,24600.0,24603.4,24597.8,236.45,229.7,8,40,STOP,-6.75,-506.25,225.0,10.7671875,40,10,285.7671875,-792.0171875,false
7,2026-03-06,2026-03-06T10:15:05.000000,2026-03-06T10:17:05.000000,CE,24650.0,24650.0,24650.0,24651.7,24667.1,212.95,220.1,24,120,TIME,7.150000000000006,536.2500000000005,225.0,10.317187500000001,40,10,285.3171875,250.93281250000047,false
8,2026-03-06,2026-03-06T10:17:05.000000,2026-03-06T10:19:05.000000,CE,24650.0,24650.0,24650.0,24667.1,24670.3,220.1,221.1,24,120,TIME,1.0,75.0,225.0,10.3640625,40,10,285.3640625,-210.3640625,false
9,2026-03-06,2026-03-06T10:19:05.000000,2026-03-06T10:21:05.000000,CE,24650.0,24650.0,24650.0,24670.3,24668.3,221.1,223.1,24,120,TIME,2.0,150.0,225.0,10.4578125,40,10,285.4578125,-135.4578125,false
10,2026-03-09,2026-03-09T10:15:05.000000,2026-03-09T10:15:45.000000,CE,23800.0,23800.0,23800.0,23795.8,23783.0,220.0,212.4,8,40,STOP,-7.599999999999994,-569.9999999999995,225.0,9.95625,40,10,284.95625,-854.9562499999995,false
