trade_no,session_date,entry_time,exit_time,side,entry_strike,atm_at_entry,atm_at_exit,spot_at_entry,spot_at_exit,entry_premium,exit_premium,holding_bars,holding_seconds,exit_reason,gross_pnl_pts,gross_pnl_inr,spread_cost_inr,stt_inr,brokerage_inr,exchange_inr,total_cost_inr,net_pnl_inr,premium_missing
1,2026-03-04,2026-03-04T10:02:45.000000,2026-03-04T10:03:35.000000,CE,24350.0,24350.0,24350.0,24343.0,24335.0,326.4,320.85,10,50,STOP,-5.5499999999999545,-416.2499999999966,225.0,15.039843750000001,40,10,290.03984375,-706.2898437499966,false
2,2026-03-04,2026-03-04T10:04:10.000000,2026-03-04T10:06:10.000000,CE,24350.0,24350.0,24350.0,24333.25,24331.05,322.8,316.8,24,120,STOP,-6.0,-450.0,225.0,14.850000000000001,40,10,289.85,-739.85,false
3,2026-03-04,2026-03-04T10:06:10.000000,2026-03-04T10:08:05.000000,CE,24350.0,24350.0,24350.0,24331.05,24343.55,316.8,325.0,23,115,TARGET,8.199999999999989,614.9999999999991,225.0,15.234375,40,10,290.234375,324.7656249999991,false
4,2026-03-04,2026-03-04T10:08:20.000000,2026-03-04T10:09:35.000000,CE,24350.0,24350.0,24350.0,24351.8,24370.75,327.25,336.35,15,75,TARGET,9.100000000000023,682.5000000000017,225.0,15.766406250000001,40,10,290.76640625,391.7335937500017,false
5,2026-03-04,2026-03-04T10:09:35.000000,2026-03-04T10:10:45.000000,CE,24350.0,24350.0,24350.0,24370.75,24358.6,336.35,328.75,14,70,STOP,-7.600000000000023,-570.0000000000017,225.0,15.41015625,40,10,290.41015625,-860.4101562500017,false
6,2026-03-04,2026-03-04T10:10:45.000000,2026-03-04T10:11:40.000000,CE,24350.0,24350.0,24350.0,24358.6,24374.1,328.75,336.75,11,55,TARGET,8.0,600.0,225.0,15.78515625,40,10,290.78515625,309.21484375,false
7,2026-03-05,2026-03-05T12:08:45.000000,2026-03-05T12:09:35.000000,PE,24600.0,24600.0,24600.0,24577.8,24586.0,236.0,230.55,10,50,STOP,-5.449999999999989,-408.74999999999915,225.0,10.807031250000001,40,10,285.80703125,-694.5570312499992,false
8,2026-03-05,2026-03-05T12:09:50.000000,2026-03-05T12:10:45.000000,PE,24600.0,24600.0,24600.0,24586.8,24594.15,230.45,225.05,11,55,STOP,-5.399999999999977,-404.9999999999983,225.0,10.549218750000001,40,10,285.54921875,-690.5492187499983,false
9,2026-03-05,2026-03-05T12:16:35.000000,2026-03-05T12:18:10.000000,PE,24600.0,24600.0,24600.0,24596.75,24606.85,224.5,219.0,19,95,STOP,-5.5,-412.5,225.0,10.265625,40,10,285.265625,-697.765625,false
10,2026-03-05,2026-03-05T12:19:50.000000,2026-03-05T12:20:25.000000,PE,24600.0,24600.0,24600.0,24603.7,24619.1,220.0,211.95,7,35,STOP,-8.050000000000011,-603.7500000000009,225.0,9.93515625,40,10,284.93515625,-888.6851562500009,false
11,2026-03-05,2026-03-05T12:25:35.000000,2026-03-05T12:26:15.000000,PE,24600.0,24600.0,24650.0,24612.65,24627.0,212.5,207.5,8,40,STOP,-5.0,-375.0,225.0,9.7265625,40,10,284.7265625,-659.7265625,false
12,2026-03-05,2026-03-05T14:46:25.000000,2026-03-05T14:47:35.000000,PE,24750.0,24750.0,24750.0,24745.0,24730.7,201.15,211.0,14,70,TARGET,9.849999999999994,738.7499999999995,225.0,9.890625,40,10,284.890625,453.85937499999955,false
13,2026-03-06,2026-03-06T14:47:05.000000,2026-03-06T14:47:55.000000,CE,24550.0,24550.0,24550.0,24554.2,24537.65,227.3,215.55,10,50,STOP,-11.75,-881.25,225.0,10.10390625,40,10,285.10390625,-1166.35390625,false
14,2026-03-09,2026-03-09T11:00:40.000000,2026-03-09T11:02:40.000000,PE,23850.0,23850.0,23850.0,23845.85,23853.1,195.9,192.45,24,120,TIME,-3.450000000000017,-258.75000000000125,225.0,9.021093749999999,40,10,284.02109375,-542.7710937500012,false
15,2026-03-09,2026-03-09T11:02:40.000000,2026-03-09T11:04:40.000000,PE,23850.0,23850.0,23850.0,23853.1,23854.0,192.45,192.65,24,120,TIME,0.20000000000001705,15.000000000001279,225.0,9.03046875,40,10,284.03046875,-269.0304687499987,false
16,2026-03-09,2026-03-09T11:04:50.000000,2026-03-09T11:06:50.000000,PE,23850.0,23850.0,23850.0,23849.3,23851.95,194.9,194.15,24,120,TIME,-0.75,-56.25,225.0,9.10078125,40,10,284.10078125,-340.35078125,false
17,2026-03-09,2026-03-09T11:07:15.000000,2026-03-09T11:09:15.000000,PE,23850.0,23850.0,23850.0,23845.1,23830.9,197.4,203.8,24,120,TIME,6.400000000000006,480.00000000000045,225.0,9.553125000000001,40,10,284.553125,195.44687500000043,false
