trade_no,session_date,entry_time,exit_time,side,entry_strike,atm_at_entry,atm_at_exit,spot_at_entry,spot_at_exit,entry_premium,exit_premium,holding_bars,holding_seconds,exit_reason,gross_pnl_pts,gross_pnl_inr,spread_cost_inr,stt_inr,brokerage_inr,exchange_inr,total_cost_inr,net_pnl_inr,premium_missing
1,2026-03-04,2026-03-04T09:47:00.000000,2026-03-04T09:48:05.000000,PE,24400.0,24400.0,24350.0,24379.0,24366.1,311.5,319.6,13,65,TARGET,8.100000000000023,607.5000000000017,225.0,14.981250000000001,40,10,289.98125,317.5187500000017,false
2,2026-03-04,2026-03-04T10:56:20.000000,2026-03-04T10:57:15.000000,PE,24400.0,24400.0,24400.0,24392.95,24379.0,306.0,315.35,11,55,TARGET,9.350000000000023,701.2500000000017,225.0,14.782031250000001,40,10,289.78203125,411.4679687500017,false
3,2026-03-04,2026-03-04T13:14:45.000000,2026-03-04T13:15:25.000000,CE,24450.0,24450.0,24450.0,24458.4,24457.65,322.6,317.6,8,40,STOP,-5.0,-375.0,225.0,14.887500000000001,40,10,289.8875,-664.8875,false
4,2026-03-04,2026-03-04T13:15:25.000000,2026-03-04T13:16:30.000000,CE,24450.0,24450.0,24450.0,24457.65,24464.25,317.6,328.45,13,65,TARGET,10.849999999999966,813.7499999999975,225.0,15.39609375,40,10,290.39609375,523.3539062499975,false
5,2026-03-04,2026-03-04T13:57:50.000000,2026-03-04T13:58:55.000000,CE,24400.0,24400.0,24450.0,24420.55,24435.4,330.3,338.85,13,65,TARGET,8.550000000000011,641.2500000000009,225.0,15.883593750000003,40,10,290.88359375,350.3664062500009,false
6,2026-03-05,2026-03-05T09:52:30.000000,2026-03-05T09:53:35.000000,PE,24650.0,24650.0,24650.0,24629.8,24640.75,243.15,237.8,13,65,STOP,-5.349999999999994,-401.24999999999955,225.0,11.146875000000001,40,10,286.146875,-687.3968749999996,false
7,2026-03-05,2026-03-05T09:59:10.000000,2026-03-05T10:00:10.000000,PE,24650.0,24650.0,24650.0,24633.15,24637.4,238.7,233.7,12,60,STOP,-5.0,-375.0,225.0,10.954687499999999,40,10,285.9546875,-660.9546875,false
8,2026-03-05,2026-03-05T10:42:15.000000,2026-03-05T10:44:15.000000,PE,24650.0,24650.0,24650.0,24637.4,24651.4,231.3,227.15,24,120,TIME,-4.150000000000006,-311.25000000000045,225.0,10.64765625,40,10,285.64765625,-596.8976562500004,false
9,2026-03-05,2026-03-05T11:09:55.000000,2026-03-05T11:11:55.000000,CE,24650.0,24650.0,24650.0,24655.15,24649.5,232.25,230.2,24,120,TIME,-2.0500000000000114,-153.75000000000085,225.0,10.790625,40,10,285.790625,-439.54062500000083,false
10,2026-03-05,2026-03-05T11:33:30.000000,2026-03-05T11:33:55.000000,PE,24650.0,24650.0,24650.0,24626.0,24632.25,236.3,229.2,5,25,STOP,-7.100000000000023,-532.5000000000017,225.0,10.743749999999999,40,10,285.74375,-818.2437500000017,false
11,2026-03-06,2026-03-06T10:06:15.000000,2026-03-06T10:07:00.000000,PE,24600.0,24600.0,24650.0,24624.15,24633.8,202.25,195.0,9,45,STOP,-7.25,-543.75,225.0,9.140625,40,10,284.140625,-827.890625,false
12,2026-03-06,2026-03-06T12:01:50.000000,2026-03-06T12:03:50.000000,PE,24600.0,24600.0,24600.0,24615.95,24610.6,198.8,200.8,24,120,TIME,2.0,150.0,225.0,9.4125,40,10,284.4125,-134.41250000000002,false
13,2026-03-06,2026-03-06T13:53:05.000000,2026-03-06T13:55:05.000000,CE,24550.0,24550.0,24550.0,24573.05,24570.25,232.45,232.0,24,120,TIME,-0.44999999999998863,-33.74999999999915,225.0,10.875,40,10,285.875,-319.62499999999915,false
14,2026-03-06,2026-03-06T14:41:05.000000,2026-03-06T14:42:05.000000,PE,24550.0,24550.0,24550.0,24559.6,24546.0,214.7,222.85,12,60,TARGET,8.150000000000006,611.2500000000005,225.0,10.44609375,40,10,285.44609375,325.80390625000047,false
15,2026-03-06,2026-03-06T14:43:50.000000,2026-03-06T14:45:50.000000,PE,24550.0,24550.0,24550.0,24538.35,24536.4,224.85,235.2,24,120,TARGET,10.349999999999994,776.2499999999995,225.0,11.024999999999999,40,10,286.025,490.22499999999957,false
16,2026-03-09,2026-03-09T10:35:05.000000,2026-03-09T10:36:45.000000,PE,23750.0,23750.0,23750.0,23749.8,23754.55,206.55,201.0,20,100,STOP,-5.550000000000011,-416.25000000000085,225.0,9.421875000000002,40,10,284.421875,-700.6718750000009,false
17,2026-03-09,2026-03-09T10:52:55.000000,2026-03-09T10:54:00.000000,CE,23850.0,23850.0,23850.0,23841.75,23857.4,215.65,224.45,13,65,TARGET,8.799999999999983,659.9999999999987,225.0,10.52109375,40,10,285.52109375,374.4789062499988,false
18,2026-03-09,2026-03-09T10:54:55.000000,2026-03-09T10:55:40.000000,CE,23850.0,23850.0,23850.0,23852.65,23862.15,219.6,228.7,9,45,TARGET,9.099999999999994,682.4999999999995,225.0,10.7203125,40,10,285.7203125,396.77968749999957,false
19,2026-03-09,2026-03-09T10:58:15.000000,2026-03-09T10:59:05.000000,CE,23850.0,23850.0,23850.0,23861.3,23856.1,224.25,219.0,10,50,STOP,-5.25,-393.75,225.0,10.265625,40,10,285.265625,-679.015625,false
20,2026-03-09,2026-03-09T11:00:30.000000,2026-03-09T11:00:40.000000,CE,23850.0,23850.0,23850.0,23855.95,23845.85,217.7,211.9,2,10,STOP,-5.799999999999983,-434.99999999999875,225.0,9.9328125,40,10,284.9328125,-719.9328124999988,false
21,2026-03-10,2026-03-10T10:16:20.000000,2026-03-10T10:17:35.000000,CE,24200.0,24200.0,24200.0,24190.2,24208.35,83.1,94.65,15,75,TARGET,11.550000000000011,866.2500000000009,225.0,4.436718750000001,40,10,279.43671875,586.813281250001,false
22,2026-03-10,2026-03-10T10:20:40.000000,2026-03-10T10:21:00.000000,CE,24200.0,24200.0,24200.0,24197.7,24191.35,86.25,80.15,4,20,STOP,-6.099999999999994,-457.49999999999955,225.0,3.7570312500000003,40,10,278.75703125,-736.2570312499995,false
