trade_no,session_date,entry_time,exit_time,side,entry_strike,atm_at_entry,atm_at_exit,spot_at_entry,spot_at_exit,entry_premium,exit_premium,holding_bars,holding_seconds,exit_reason,gross_pnl_pts,gross_pnl_inr,spread_cost_inr,stt_inr,brokerage_inr,exchange_inr,total_cost_inr,net_pnl_inr,premium_missing
1,2026-03-04,2026-03-04T09:41:00.000000,2026-03-04T09:42:50.000000,PE,24400.0,24400.0,24400.0,24381.35,24396.2,306.15,299.2,22,110,STOP,-6.949999999999989,-521.2499999999991,225.0,14.025,40,10,289.025,-810.2749999999991,false
2,2026-03-04,2026-03-04T09:42:50.000000,2026-03-04T09:43:40.000000,PE,24400.0,24400.0,24400.0,24396.2,24410.7,299.2,292.45,10,50,STOP,-6.75,-506.25,225.0,13.70859375,40,10,288.70859375,-794.95859375,false
3,2026-03-04,2026-03-04T09:43:40.000000,2026-03-04T09:45:40.000000,PE,24400.0,24400.0,24400.0,24410.7,24411.8,292.45,295.65,24,120,TIME,3.1999999999999886,239.99999999999915,225.0,13.858593749999999,40,10,288.85859375,-48.858593750000864,false
4,2026-03-04,2026-03-04T09:59:00.000000,2026-03-04T10:00:10.000000,CE,24350.0,24350.0,24300.0,24329.6,24315.95,322.2,313.7,14,70,STOP,-8.5,-637.5,225.0,14.7046875,40,10,289.7046875,-927.2046875,false
5,2026-03-05,2026-03-05T09:39:00.000000,2026-03-05T09:39:50.000000,CE,24550.0,24550.0,24550.0,24542.0,24535.3,239.7,233.3,10,50,STOP,-6.399999999999977,-479.9999999999983,225.0,10.935937500000001,40,10,285.9359375,-765.9359374999983,false
6,2026-03-05,2026-03-05T09:40:00.000000,2026-03-05T09:41:50.000000,CE,24550.0,24550.0,24550.0,24533.1,24564.6,234.65,249.2,22,110,TARGET,14.549999999999983,1091.2499999999986,225.0,11.68125,40,10,286.68125,804.5687499999987,false
7,2026-03-05,2026-03-05T09:47:00.000000,2026-03-05T09:49:00.000000,PE,24600.0,24600.0,24600.0,24600.95,24611.15,232.7,229.95,24,120,TIME,-2.75,-206.25,225.0,10.77890625,40,10,285.77890625,-492.02890625,false
8,2026-03-05,2026-03-05T10:12:00.000000,2026-03-05T10:14:00.000000,CE,24600.0,24600.0,24600.0,24612.1,24605.75,242.15,240.0,24,120,TIME,-2.1500000000000057,-161.25000000000043,225.0,11.25,40,10,286.25,-447.50000000000045,false
9,2026-03-06,2026-03-06T09:46:00.000000,2026-03-06T09:46:20.000000,PE,24700.0,24700.0,24700.0,24678.6,24685.75,225.05,218.95,4,20,STOP,-6.100000000000023,-457.5000000000017,225.0,10.263281249999999,40,10,285.26328125,-742.7632812500017,false
10,2026-03-06,2026-03-06T09:46:20.000000,2026-03-06T09:46:45.000000,PE,24700.0,24700.0,24650.0,24685.75,24670.0,218.95,230.75,5,25,TARGET,11.800000000000011,885.0000000000009,225.0,10.81640625,40,10,285.81640625,599.1835937500009,false
