Trade #,Type,Date and time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative P&L INR,Cumulative P&L %
1,Exit short,2026-02-23 10:19:15,TP_Inv,25742.3,1,1671169.5,-3083.33,-0.18,0,0.00,-2951.85,-0.18,-3083.33,-0.62
1,Entry short,2026-02-23 10:13:25,TP,25710.3,1,1671169.5,-3083.33,-0.18,0,0.00,-2951.85,-0.18,-3083.33,-0.62
2,Exit short,2026-02-23 10:44:45,XS,25659.2,1,1671098,2248.32,0.13,2748.67,0.16,-943.33,-0.06,-835.01,-0.17
2,Entry short,2026-02-23 10:36:10,TP,25709.2,1,1671098,2248.32,0.13,2748.67,0.16,-943.33,-0.06,-835.01,-0.17
3,Exit long,2026-02-23 15:20:05,EOD,25702.9,1,1669856.5,-170.16,-0.01,1767.54,0.11,-2333.96,-0.14,-1005.17,-0.20
3,Entry long,2026-02-23 14:30:25,TP,25690.1,1,1669856.5,-170.16,-0.01,1767.54,0.11,-2333.96,-0.14,-1005.17,-0.20
4,Exit short,2026-02-24 12:11:55,XS,25453.1,1,1657701.5,2256.35,0.14,2752.69,0.17,-2375.81,-0.14,1251.18,0.25
4,Entry short,2026-02-24 11:35:20,TP,25503.1,1,1657701.5,2256.35,0.14,2752.69,0.17,-2375.81,-0.14,1251.18,0.25
5,Exit long,2026-02-26 09:55:15,XL,25641.5,1,1669304,-3607.3,-0.22,1975.71,0.12,-3107.29,-0.19,-2356.12,-0.47
5,Entry long,2026-02-26 09:37:55,TP,25681.6,1,1669304,-3607.3,-0.22,1975.71,0.12,-3107.29,-0.19,-2356.12,-0.47
6,Exit long,2026-02-26 10:30:25,TP_Inv,25678.5,1,1670038.5,-1937.74,-0.12,1585.49,0.09,-2607.01,-0.16,-4293.86,-0.86
6,Entry long,2026-02-26 10:05:45,TP,25692.9,1,1670038.5,-1937.74,-0.12,1585.49,0.09,-2607.01,-0.16,-4293.86,-0.86
7,Exit short,2026-02-26 10:50:10,TP_Inv,25690.2,1,1668771,-2093.59,-0.13,0,0.00,-2164.63,-0.13,-6387.45,-1.28
7,Entry short,2026-02-26 10:44:25,TP,25673.4,1,1668771,-2093.59,-0.13,0,0.00,-2164.63,-0.13,-6387.45,-1.28
8,Exit long,2026-02-27 14:04:20,TP_Inv,25464.8,1,1656661.5,-2443.06,-0.15,0,0.00,-2531.5,-0.15,-8830.51,-1.77
8,Entry long,2026-02-27 14:00:50,TP,25487.1,1,1656661.5,-2443.06,-0.15,0,0.00,-2531.5,-0.15,-8830.51,-1.77
9,Exit short,2026-02-27 15:00:20,XS,25410.8,1,1654952,2258,0.14,2753.51,0.17,-743.49,-0.04,-6572.51,-1.31
9,Entry short,2026-02-27 14:16:10,TP,25460.8,1,1654952,2258,0.14,2753.51,0.17,-743.49,-0.04,-6572.51,-1.31
10,Exit long,2026-03-05 09:55:35,XL,24747.9,1,1605363.5,2285.81,0.14,2768.39,0.17,-1645.11,-0.10,-4286.7,-0.86
10,Entry long,2026-03-05 09:44:35,TP,24697.9,1,1605363.5,2285.81,0.14,2768.39,0.17,-1645.11,-0.10,-4286.7,-0.86
11,Exit short,2026-03-05 10:39:05,TP_Inv,24707.9,1,1603634.5,-3341.89,-0.21,1943.41,0.12,-3055.09,-0.19,-7628.6,-1.53
11,Entry short,2026-03-05 10:23:45,TP,24671.3,1,1603634.5,-3341.89,-0.21,1943.41,0.12,-3055.09,-0.19,-7628.6,-1.53
12,Exit short,2026-03-05 12:21:25,XS,24725.1,1,1604518.5,-3576.49,-0.22,1715.64,0.11,-3094.36,-0.19,-11205.09,-2.24
12,Entry short,2026-03-05 11:37:00,TP,24684.9,1,1604518.5,-3576.49,-0.22,1715.64,0.11,-3094.36,-0.19,-11205.09,-2.24
13,Exit long,2026-03-06 10:49:35,XL,24685,1,1607255,-3693.53,-0.23,2767.82,0.17,-3212.18,-0.20,-14898.63,-2.98
13,Entry long,2026-03-06 09:35:10,GF,24727,1,1607255,-3693.53,-0.23,2767.82,0.17,-3212.18,-0.20,-14898.63,-2.98
14,Exit short,2026-03-10 09:45:00,XS,24237.1,1,1572733.5,-3622.44,-0.23,1933.18,0.12,-3149.82,-0.20,-18521.07,-3.70
14,Entry short,2026-03-10 09:35:05,GF,24195.9,1,1572733.5,-3622.44,-0.23,1933.18,0.12,-3149.82,-0.20,-18521.07,-3.70
15,Exit short,2026-03-10 10:15:35,XS,24252,1,1573773.5,-3551.55,-0.23,2511.37,0.16,-3078.63,-0.20,-22072.61,-4.41
15,Entry short,2026-03-10 09:55:15,GF,24211.9,1,1573773.5,-3551.55,-0.23,2511.37,0.16,-3078.63,-0.20,-22072.61,-4.41
16,Exit short,2026-03-16 10:13:35,XS,23206.8,1,1511692,2343.96,0.16,2796.49,0.18,-1519.51,-0.10,-19728.66,-3.95
16,Entry short,2026-03-16 09:59:05,TP,23256.8,1,1511692,2343.96,0.16,2796.49,0.18,-1519.51,-0.10,-19728.66,-3.95
17,Exit long,2026-03-16 11:21:20,XL,23276.5,1,1509709.5,2356.2,0.16,2810.09,0.19,-1830.91,-0.12,-17372.46,-3.47
17,Entry long,2026-03-16 11:17:40,TP,23226.3,1,1509709.5,2356.2,0.16,2810.09,0.19,-1830.91,-0.12,-17372.46,-3.47
18,Exit long,2026-03-16 12:34:45,XL,23209.9,1,1511250,-3512.47,-0.23,1171.63,0.08,-3059.87,-0.20,-20884.93,-4.18
18,Entry long,2026-03-16 12:01:45,TP,23250,1,1511250,-3512.47,-0.23,1171.63,0.08,-3059.87,-0.20,-20884.93,-4.18
19,Exit long,2026-03-18 09:55:15,XL,23729.9,1,1545056.5,-3539.25,-0.23,0,0.00,-3076.52,-0.20,-24424.18,-4.88
19,Entry long,2026-03-18 09:50:40,TP,23770.1,1,1545056.5,-3539.25,-0.23,0,0.00,-3076.52,-0.20,-24424.18,-4.88
20,Exit long,2026-03-18 10:48:50,XL,23787,1,1542482.5,2745.91,0.18,3209.76,0.21,-547.24,-0.04,-21678.27,-4.34
20,Entry long,2026-03-18 10:22:05,TP,23730.5,1,1542482.5,2745.91,0.18,3209.76,0.21,-547.24,-0.04,-21678.27,-4.34
21,Exit short,2026-03-20 10:33:45,TP_Inv,23298.7,1,1512907.5,-2416.2,-0.16,2633.63,0.17,-2592.37,-0.17,-24094.47,-4.82
21,Entry short,2026-03-20 09:43:40,TP,23275.5,1,1512907.5,-2416.2,-0.16,2633.63,0.17,-2592.37,-0.17,-24094.47,-4.82
22,Exit short,2026-03-20 12:09:15,XS,23225.8,1,1512927,2343.22,0.15,2796.12,0.18,-2020.38,-0.13,-21751.25,-4.35
22,Entry short,2026-03-20 11:51:05,TP,23275.8,1,1512927,2343.22,0.15,2796.12,0.18,-2020.38,-0.13,-21751.25,-4.35
23,Exit long,2026-03-20 13:45:20,XL,23250.2,1,1513869.5,-3514.04,-0.23,754.84,0.05,-3060.66,-0.20,-25265.29,-5.05
23,Entry long,2026-03-20 13:16:15,TP,23290.3,1,1513869.5,-3514.04,-0.23,754.84,0.05,-3060.66,-0.20,-25265.29,-5.05
