Trade #,Type,Date and time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2026-02-24 15:21,EOD,25426.1,1,1650584,1121.52,0.07,3820.82,0.23,-1379.18,-0.08,1121.52,0.22
1,Entry long,2026-02-24 14:47,EXT,25393.6,1,1650584,1121.52,0.07,3820.82,0.23,-1379.18,-0.08,1121.52,0.22
2,Exit long,2026-02-27 13:56,ZS_Revert,25472.9,1,1653567.5,1178.21,0.07,1811.43,0.11,-1289.07,-0.08,2299.72,0.46
2,Entry long,2026-02-27 13:43,MOD,25439.5,1,1653567.5,1178.21,0.07,1811.43,0.11,-1289.07,-0.08,2299.72,0.46
3,Exit long,2026-03-06 14:16,ZS_Revert,24700.9,1,1603816.5,779.19,0.05,1566.36,0.10,-2567.64,-0.16,3078.91,0.62
3,Entry long,2026-03-06 13:49,MOD,24674.1,1,1603816.5,779.19,0.05,1566.36,0.10,-2567.64,-0.16,3078.91,0.62
4,Exit short,2026-03-16 14:39,XS,23425,1,1520343.5,-3194.39,-0.21,2033.4,0.13,-2737.6,-0.18,-115.48,-0.02
4,Entry short,2026-03-16 14:25,EXT,23389.9,1,1520343.5,-3194.39,-0.21,2033.4,0.13,-2737.6,-0.18,-115.48,-0.02
5,Exit long,2026-03-20 14:37,XL,23157,1,1507486.5,-3185.31,-0.21,756.75,0.05,-2733.75,-0.18,-3300.79,-0.66
5,Entry long,2026-03-20 14:26,MOD,23192.1,1,1507486.5,-3185.31,-0.21,756.75,0.05,-2733.75,-0.18,-3300.79,-0.66
