Trade #,Type,Date and time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2026-02-24 15:21,EOD,25426.1,1,1650584,1121.52,0.07,3820.82,0.23,-1379.18,-0.08,1121.52,0.22
1,Entry long,2026-02-24 14:47,L,25393.6,1,1650584,1121.52,0.07,3820.82,0.23,-1379.18,-0.08,1121.52,0.22
2,Exit long,2026-02-27 13:56,ZS_Revert,25472.9,1,1653567.5,1178.21,0.07,1811.43,0.11,-1289.07,-0.08,2299.72,0.46
2,Entry long,2026-02-27 13:43,L,25439.5,1,1653567.5,1178.21,0.07,1811.43,0.11,-1289.07,-0.08,2299.72,0.46
3,Exit long,2026-03-06 14:16,ZS_Revert,24700.9,1,1603816.5,779.19,0.05,1566.36,0.10,-2567.64,-0.16,3078.91,0.62
3,Entry long,2026-03-06 13:49,L,24674.1,1,1603816.5,779.19,0.05,1566.36,0.10,-2567.64,-0.16,3078.91,0.62
4,Exit short,2026-03-16 14:39,XS,23440,1,1520343.5,-4169.68,-0.27,2033.4,0.13,-3712.6,-0.24,-1090.77,-0.22
4,Entry short,2026-03-16 14:25,S,23389.9,1,1520343.5,-4169.68,-0.27,2033.4,0.13,-3712.6,-0.24,-1090.77,-0.22
5,Exit short,2026-03-18 13:36,XS,23853.8,1,1547240.5,-4185.82,-0.27,0,0.00,-3720.67,-0.24,-5276.59,-1.06
5,Entry short,2026-03-18 13:18,S,23803.7,1,1547240.5,-4185.82,-0.27,0,0.00,-3720.67,-0.24,-5276.59,-1.06
6,Exit long,2026-03-20 14:42,XL,23142,1,1507486.5,-4160.02,-0.28,756.75,0.05,-3708.75,-0.25,-9436.61,-1.89
6,Entry long,2026-03-20 14:26,L,23192.1,1,1507486.5,-4160.02,-0.28,756.75,0.05,-3708.75,-0.25,-9436.61,-1.89
