Trade #,Type,Date and time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2026-02-24 13:02:05,TimeStop,25417.2,1,1651468,-341.08,-0.02,271.56,0.02,-1502.94,-0.09,-341.08,-0.07
1,Entry long,2026-02-24 12:47:05,L,25407.2,1,1651468,-341.08,-0.02,271.56,0.02,-1502.94,-0.09,-341.08,-0.07
2,Exit long,2026-02-25 12:34:55,XL,25676,1,1670896.5,-2958.45,-0.18,0,0.00,-2457.77,-0.15,-3299.53,-0.66
2,Entry long,2026-02-25 12:33:25,L,25706.1,1,1670896.5,-2958.45,-0.18,0,0.00,-2457.77,-0.15,-3299.53,-0.66
3,Exit long,2026-02-25 13:28:55,XL,25590.1,1,1662381.5,-22.72,0.00,1431.79,0.09,-752.21,-0.05,-3322.25,-0.66
3,Entry long,2026-02-25 13:27:10,L,25575.1,1,1662381.5,-22.72,0.00,1431.79,0.09,-752.21,-0.05,-3322.25,-0.66
4,Exit long,2026-02-27 12:28:45,XL,25444,1,1651071.5,1797.02,0.11,2293.18,0.14,-501.82,-0.03,-1525.23,-0.31
4,Entry long,2026-02-27 12:23:45,L,25401.1,1,1651071.5,1797.02,0.11,2293.18,0.14,-501.82,-0.03,-1525.23,-0.31
5,Exit long,2026-02-27 15:03:45,XL,25337.5,1,1648913.5,-2964.76,-0.18,70.83,0.00,-2470.67,-0.15,-4489.98,-0.90
5,Entry long,2026-02-27 15:01:20,L,25367.9,1,1648913.5,-2964.76,-0.18,70.83,0.00,-2470.67,-0.15,-4489.98,-0.90
6,Exit long,2026-03-06 12:32:00,XL,24687.7,1,1603686.5,51.48,0.00,1189.39,0.07,-487.61,-0.03,-4438.5,-0.89
6,Entry long,2026-03-06 12:28:50,L,24672.1,1,1603686.5,51.48,0.00,1189.39,0.07,-487.61,-0.03,-4438.5,-0.89
7,Exit short,2026-03-10 14:06:45,XS,24341.1,1,1582548.5,-572.42,-0.04,558.74,0.04,-591.76,-0.04,-5010.91,-1.00
7,Entry short,2026-03-10 14:05:30,S,24346.9,1,1582548.5,-572.42,-0.04,558.74,0.04,-591.76,-0.04,-5010.91,-1.00
8,Exit long,2026-03-11 10:44:25,XL,24150.8,1,1571758.5,-2898.97,-0.18,2.97,0.00,-2428.03,-0.15,-7909.88,-1.58
8,Entry long,2026-03-11 10:36:00,L,24180.9,1,1571758.5,-2898.97,-0.18,2.97,0.00,-2428.03,-0.15,-7909.88,-1.58
9,Exit long,2026-03-11 14:21:10,XL,23997.7,1,1558804,110.9,0.01,1248.36,0.08,-955.14,-0.06,-7798.98,-1.56
9,Entry long,2026-03-11 14:19:00,L,23981.6,1,1558804,110.9,0.01,1248.36,0.08,-955.14,-0.06,-7798.98,-1.56
